username,nome_completo,verificado,status_relacao,foto_perfil,arquivo_origem,data_leitura,quantidade_aparicoes,bio,n_publicacoes,n_seguidores,n_seguindo,link_externo,verificado,status_conta,foto_perfil,categoria,nome_completo,conta_comercial,destaque_stories,posts_recentes,engajamento_medio
pat147416,,False,Seguir,0,confresamtoficial.csv,2025-08-02,1,pat147416 14 14 67 67 1.185 1.185 pat,14,14,67,,False,Pública,0,,,False,0,0,0
kelytonvs,,False,Seguir,0,confresamtoficial.csv,2025-08-02,2,kelytonvs 20 20 921 921 657 657 KELYTON VINICIUS 🎞️✨ Blog pessoal 𝘷𝘪𝘣𝘦 𝘒𝘝 𝘍𝘪𝘭𝘮𝘪𝘯𝘨 𝘮𝘶𝘴𝘪𝘤 𝘷𝘪𝘣𝘦 𝘒𝘝 𝘍𝘪𝘭𝘮𝘪𝘯𝘨 𝘮𝘶𝘴𝘪𝘤,20,20,921,https://www.threads.com/@kelytonvs?xmt=AQF0pOlV20c_3sjuxrjEqtvbmfI4GtotfGZGjGJ41cIsYRY,False,Pública,0,,,False,0,0,0
__cat__arleking_,,False,Seguir,0,confresamtoficial.csv,2025-08-02,1,__cat__arleking_ 0 0 204 204 339 339 ARLEKING💎 Gamer JOGADOR DE SUPER SUS 🆔58512552 INDENTIDADE FAVORITAS: SNIPER E CAÇADOR/A DE CABEÇAS ARLEKING💎 Gamer JOGADOR DE SUPER SUS 🆔58512552 INDENTIDADE FAVORITAS: SNIPER E CAÇADOR/A DE CABEÇAS edits,0,0,204,,False,Pública,0,,,False,0,0,0
r.marciodesousa,,False,Seguir,0,confresamtoficial.csv,2025-08-02,2,"r.marciodesousa 0 0 285 285 856 856 Márcio Rodrigues Finanças O impossível não é um fato, ele é apenas uma opinião. O que é impossível para os outros, não necessariamente será para... mais Márcio Rodrigues Finanças O impossível não é um fato, ele é apenas uma opinião. O que é impossível para os outros, não necessariamente será para... mais O impossível não é um fato, ele é apenas uma opinião. O que é impossível para os outros, não necessariamente será para ... mais mais",0,0,285,,False,Pública,0,,,False,0,0,0
igormpaiva_,,False,Seguir,0,confresamtoficial.csv,2025-08-02,1,igormpaiva_ 26 26 1.239 1.239 2.420 2.420 Igor Paiva | VIDEOMAKER Criador de reels 🎬 Videomaker 📸 Photographer 🚁 Drone pilot 👇🏻 Saiba mais wa.me/message/5YU7KZEU6WA7O1 Antônia 🎤 💎 ⠀⠀⠀⠀ JP - PB 👨🏻‍⚕️ GRA - RS ⠀⠀⠀⠀ NAT - RN 🏃🏻 🛵 🚗 🍩 Antônia 🎤 💎 ⠀⠀⠀⠀ JP - PB 👨🏻‍⚕️ GRA - RS NAT - RN 🏃🏻 🛵 🚗 🍩,26,26,1239,,False,Pública,0,,,False,0,0,0
imperio_drakeeee,,False,Seguir,0,confresamtoficial.csv,2025-08-02,1,,15,15,373,,False,Erro inesperado,0,,,False,0,0,0
franciscasilva4688,,False,Seguir,0,confresamtoficial.csv,2025-08-02,1,franciscasilva4688 0 0 13 13 11 11 francisca silva,0,0,13,,False,Pública,0,,,False,0,0,0
adrielly.cirqueira,,False,Seguir,0,confresamtoficial.csv,2025-08-02,1,"adrielly.cirqueira 19 19 200 200 415 415 Adrielly cirqueira My faith is strong, whoever guides me does not sleep 🦋🙇🏽‍♀️",19,19,200,https://www.threads.com/@adrielly.cirqueira?xmt=AQF01VizHeVnOjwurKOTfZJmVrpMJ4Z0UxbYofW7OcdwO0w,False,Pública,0,,,False,0,0,0
marconee_snt,,False,Seguir,0,confresamtoficial.csv,2025-08-02,1,marconee_snt 2 2 84 84 85 85 Ⓜ️arcone,2,2,84,,False,Pública,0,,,False,0,0,0
news_brazil_energy,,False,Seguir,0,confresamtoficial.csv,2025-08-02,1,"news_brazil_energy 14 14 534 534 7.500 7.500 Eilor News Brazil Serviços de energia solar ENERGIA LIVRE, SOLAR E POR ASSINATURA. Watssap (69)99252-2542 email b galloexport@gmail.com lex.energiacom.vc/113T6OK e mais 1 Energia Solar ENERGIAS RENOVAV Energia Solar ROVEMA ENERGIA Energia Solar ENERGIAS RENOVAV ROVEMA ENERGIA",14,14,534,https://www.threads.com/@news_brazil_energy?xmt=AQF0ghqcrJf9SqVlfRQwaT-y75T5I0mEDgYbwZ9EQgrGiGg,False,Pública,0,,,False,0,0,0
dmyss,,False,Seguir,0,confresamtoficial.csv,2025-08-02,8,dmyss 13 13 2.798 2.798 2.126 2.126 ᴰ ᴬ ᴹ ʸ ˢ ˢ ᴼ ᵁ ᶻ ᴬ Damarys Souza,13,13,2798,https://www.threads.com/@dmyss?xmt=AQF0IqbaBzB9X3wTOnbnqZKtzun-QoZVtjbLK6566bT6kvE,False,Pública,0,,,False,0,0,0
adriiano_andrade_,,False,Seguir,0,confresamtoficial.csv,2025-08-02,1,adriiano_andrade_ 5 5 968 968 496 496 Adriano Andrade,5,5,968,https://www.threads.com/@adriiano_andrade_?xmt=AQF0goR_ss3wdefm7lJ9GJV6nrfaBaOw1IvBi6SWFClsWjs,False,Pública,0,,,False,0,0,0
silv4nda,,False,Seguir,0,confresamtoficial.csv,2025-08-02,1,"silv4nda 12 12 660 660 251 251 Consultora de vendas AJ🎯 🇧🇷Pva/Ma/PI 💍Muito bem casada ✨ Vendedora desde sempre 🌅💖 amo viajar, pôr do sol, cuidar da minha casinha e cozinhar.🌸 Consultora de vendas AJ🎯 🇧🇷Pva/Ma/PI 💍Muito bem casada ✨ Vendedora desde sempre 🌅💖 amo viajar, pôr do sol, cuidar da minha casinha e cozinhar.🌸 meu presente 🎁 Campo verde primavera manos🥺❤️ Meninas CONFRA bebê 💖 meu presente 🎁 Campo verde primavera manos🥺❤️ Meninas CONFRA bebê 💖",12,12,660,,False,Pública,0,,,False,0,0,0
wemersonamerico,,False,Seguir,0,confresamtoficial.csv,2025-08-02,3,,109,109,1873,,False,Erro inesperado,0,,,False,0,0,0
rosamariamontechiesi,,False,,0,denisearaujo.fit.csv,2025-08-02,1,rosamariamontechiesi 43 43 746 746 493 493 Rosa Maria Montechiesi,43,43,746,https://www.threads.com/@rosamariamontechiesi?xmt=AQF0d0OUNjruzv0WnOJdwTFfgly1ID_4EYGc9073HkWxYwI,False,Pública,0,,,False,0,0,0
carmensilvia800,,False,,0,denisearaujo.fit.csv,2025-08-02,1,carmensilvia800 0 0 247 247 296 296 Carmen Silvia,0,0,247,https://www.threads.com/@carmensilvia800?xmt=AQF0fx2toj6pUaZLfnopOK5V9T649lHCeufZJXVBBMPx7jo,False,Pública,0,,,False,0,0,0
patricia_mauricio_,,False,,0,denisearaujo.fit.csv,2025-08-02,1,,95,95,1182,,False,Erro inesperado,0,,,False,0,0,0
andrea.leal61,,False,,0,denisearaujo.fit.csv,2025-08-02,1,andrea.leal61 66 66 187 187 460 460 Andrea Nunes Guiada por Deus!,66,66,187,https://www.threads.com/@andrea.leal61?xmt=AQF04nuEy4TuM9fADs2Z7KcmdJ-vdRBG9KU87m-1a8LSVIk,False,Pública,0,,,False,0,0,0
rosaniarainha,,False,,0,denisearaujo.fit.csv,2025-08-02,1,,338,338,1232,,False,Erro inesperado,0,,,False,0,0,0
wellington.reis.58958343,,False,,0,denisearaujo.fit.csv,2025-08-02,1,wellington.reis.58958343 9 9 836 836 4.349 4.349 Santos Reis DEISTA SÓ ACREDITO EM DEUS gmail.com Destaques Destaques Destaques,9,9,836,https://www.threads.com/@wellington.reis.58958343?xmt=AQF0EeC9tcEmxy1LbKZTqvOzmb-5qBNt7PzXDpvCZiIaXpY,False,Pública,0,,,False,0,0,0
giselelimonge,,False,,0,denisearaujo.fit.csv,2025-08-02,1,giselelimonge 142 142 149 149 586 586 Gisele Limonge de Oliveira,142,142,149,,False,Pública,0,,,False,0,0,0
telmaguima2,,False,,0,denisearaujo.fit.csv,2025-08-02,1,"telmaguima2 383 383 415 415 1.561 1.561 Telma Guimarães Nunca se canse de falar com Deus, pois ele nunca se cansa de te escutar!",383,383,415,https://www.threads.com/@telmaguima2?xmt=AQF04pk2Oa9Ni88Vm7YMGJKy1RJ-ZWFHjLKyFo2cBbq7Eqk,False,Pública,0,,,False,0,0,0
kamilla.azeredo,,False,,0,denisearaujo.fit.csv,2025-08-02,1,kamilla.azeredo 75 75 1.073 1.073 1.116 1.116 Kamilla Azeredo,75,75,1073,,False,Pública,0,,,False,0,0,0
lucinetesousapires,,False,,0,denisearaujo.fit.csv,2025-08-02,1,,49,49,604,,False,Erro inesperado,0,,,False,0,0,0
rodrigosantosca,,False,,0,denisearaujo.fit.csv,2025-08-02,1,rodrigosantosca 81 81 137 137 828 828 Rodrigo Dos Santos,81,81,137,https://www.threads.com/@rodrigosantosca?xmt=AQF0C7VR5O0O-vgCgiVI-EWDtDe8XbS9vwDMpDBrHzl4s9o,False,Pública,0,,,False,0,0,0
mma_rlenesouza,,False,,0,denisearaujo.fit.csv,2025-08-02,1,mma_rlenesouza 6 6 55 55 1.018 1.018 Maria Marlene de Souza Ramos Nordestina com muito orgulho Maria Marlene de Souza Ramos Nordestina com muito orgulho,6,6,55,,False,Pública,0,,,False,0,0,0
monicaestudio_hair,,False,,0,denisearaujo.fit.csv,2025-08-02,1,monicaestudio_hair 154 154 441 441 610 610 Monica Santos Cabelos,154,154,441,,False,Pública,0,,,False,0,0,0
gislany_silvaaa,,False,,0,denisearaujo.fit.csv,2025-08-02,1,"gislany_silvaaa 24 24 10,4 mil 10,4 mil 4.896 4.896 𝘎𝘪𝘴𝘭𝘢𝘯𝘺 ☻ Criador(a) de conteúdo digital 🏋🏻‍♀️👶🏻🐕 𝔻𝕖𝕦𝕤 𝕡𝕣𝕠𝕧𝕖𝕣𝕒́!✨ J,13:7 mood £# ☀️ M& moments🔁 💅 treino Vibe’s 🐶🐶❤️ 👙❤️ ❤anjinho 😇 mood £# ☀️ M& moments🔁 💅 treino Vibe’s 🐶🐶❤️ 👙❤️ ❤anjinho 😇",24,24,10400,https://www.threads.com/@gislany_silvaaa?xmt=AQF0ZKkaAmdkTZ7VSpFB-0Z67kOOGFX7HmtSgkgcjOfdIlk,False,Pública,0,,,False,0,0,0
isabelcristinaadvogada,,False,,0,denisearaujo.fit.csv,2025-08-02,1,isabelcristinaadvogada 28 28 1.167 1.167 2.469 2.469 Isabel Cristina O meu Redentor vive🙏🏼 Advogada. Atendimento presencial e online⚖️,28,28,1167,https://www.threads.com/@isabelcristinaadvogada?xmt=AQF0E3pbnufNTi0Z5SyD8kMb2V2q3LY-QXqzO8FdmwvTR0M,False,Pública,0,,,False,0,0,0
deodete1982,,False,,0,denisearaujo.fit.csv,2025-08-02,1,deodete1982 8 8 112 112 582 582 Deodete Chaluco,8,8,112,,False,Pública,0,,,False,0,0,0
dannyyrodriigues,,False,,0,denisearaujo.fit.csv,2025-08-02,1,dannyyrodriigues 48 48 358 358 1.310 1.310 Danyzinha🌸 ... mais mais,48,48,358,,False,Pública,0,,,False,0,0,0
majumeireles_,,False,,0,denisearaujo.fit.csv,2025-08-02,1,majumeireles_ 6 6 2.578 2.578 2.933 2.933 Maria Júlia 🌪️🔥🌻 Maria Júlia 🌪️🔥🌻,6,6,2578,,False,Pública,0,,,False,0,0,0
csalles522,,False,,0,denisearaujo.fit.csv,2025-08-02,1,csalles522 71 71 1.195 1.195 5.319 5.319 Cristiane salles Destaques Destaques Destaques Destaques Destaques Destaques Destaques Ok Destaques Ok,71,71,1195,https://www.threads.com/@csalles522?xmt=AQF0sGNrKW0VVTN2gYzcbrL6U4PfPzwUcVdAjDY_fyJKF7A,False,Pública,0,,,False,0,0,0
carla,,False,,0,denisearaujo.fit.csv,2025-08-02,1,,1883,1883,40200,,False,Erro inesperado,0,,,False,0,0,0
herlieneeoliveira,,False,,0,denisearaujo.fit.csv,2025-08-02,1,herlieneeoliveira 2 2 1.070 1.070 1.004 1.004 Herliene Meireles Cirurgiã-dentista👩🏻‍⚕️✨,2,2,1070,https://www.threads.com/@herlieneeoliveira?xmt=AQF0xChqxNn5tgrsioI2X_AjXOJFMd_XOQqdN1CYJeCQObs,False,Pública,0,,,False,0,0,0
verinhalucia151,,False,,0,denisearaujo.fit.csv,2025-08-02,1,verinhalucia151 414 414 1.011 1.011 1.114 1.114 Verinha Lúcia Araujo O meu grau de ironia depende sempre do absurdo que eu fui obrigada a ouvir😘🔫 DE ESQUERDA SEMPRE Gestão pública,414,414,1011,https://www.facebook.com/profile.php?id=100002790420978&ref=_ig_profile_ac,False,Pública,0,,,False,0,0,0
roseribb,,False,,0,denisearaujo.fit.csv,2025-08-02,1,,143,143,1531,,False,Erro inesperado,0,,,False,0,0,0
valdineidesoares,,False,,0,denisearaujo.fit.csv,2025-08-02,1,"valdineidesoares 4.305 4.305 1.944 1.944 6.827 6.827 Valdineide Soares Viva na presença e na unção do Senhor ,por onde andares não traia e não negocie a sua fé a sua crença em Deus !",4305,4305,1944,https://www.threads.com/@valdineidesoares?xmt=AQF0Cy6J0DZ_SD8Ds12dwpov8fGhfIOuyDQ0tUkpq8nzcdI,False,Pública,0,,,False,0,0,0
daniellecamerino,,False,,0,denisearaujo.fit.csv,2025-08-02,1,"daniellecamerino 23 23 985 985 3.597 3.597 Danielle Camerino 🌸Danielle 🌵CE/PI 💖Mãe da Thávyne 🐾Scooby 🙌Tenha fé e confie na vontade de Deus. Pois o que hoje parece impossível, aman... mais Danielle Camerino 🌸Danielle 🌵CE/PI 💖Mãe da Thávyne 🐾Scooby 🙌Tenha fé e confie na vontade de Deus. Pois o que hoje parece impossível, aman... mais 🌸Danielle 🌵CE/PI 💖Mãe da Thávyne 🐾Scooby 🙌Tenha fé e confie na vontade de Deus. Pois o que hoje parece impossível, aman ... mais mais",23,23,985,,False,Pública,0,,,False,0,0,0
carlinhag_2,,False,,0,denisearaujo.fit.csv,2025-08-02,1,carlinhag_2 19 19 158 158 534 534 Carlinha Galindo,19,19,158,,False,Pública,0,,,False,0,0,0
lucasfarias_dr,,False,,0,denisearaujo.fit.csv,2025-08-02,1,lucasfarias_dr 15 15 686 686 2.903 2.903 Lucas Farias 🥁 Lucas Farias 🥁,15,15,686,,False,Pública,0,,,False,0,0,0
restaurantedonaluzia,,False,,0,denisearaujo.fit.csv,2025-08-02,1,,2640,2640,3169,,False,Erro inesperado,0,,,False,0,0,0
almeidamariade,,False,,0,denisearaujo.fit.csv,2025-08-02,1,"almeidamariade 0 0 414 414 537 537 Mharia Antonia De Almeida ""Tenho medos bobos e coragens absurdas""",0,0,414,https://www.threads.com/@almeidamariade?xmt=AQF0ngPHp-4QPEo6rIpVcWFMWEYzxZWcfxJWWMSDVCNJ_Mo,False,Pública,0,,,False,0,0,0
adrianaaraujo7397,,False,,0,denisearaujo.fit.csv,2025-08-02,1,adrianaaraujo7397 191 191 684 684 1.917 1.917 Adriana Araujo,191,191,684,,False,Pública,0,,,False,0,0,0
dr.marcosoaress,,False,,0,doutorsorrisoconfresa.csv,2025-08-02,3,,150,150,3744,,False,Erro inesperado,0,,,False,0,0,0
dra.yasmin_carvalho,,False,,0,doutorsorrisoconfresa.csv,2025-08-02,4,"dra.yasmin_carvalho 47 47 1.958 1.958 1.665 1.665 Yasmin Carvalho • Lentes em Resina & Ortodontia Construir sorrisos, transformar vidas ✨ 🏅Odontologia Estética 📚Ortodontia 🧡 Alinhador Invisível- SouSmile 📍Confresa-Mt... mais Construir sorrisos, transformar vidas ✨ 🏅Odontologia Estética 📚Ortodontia 🧡 Alinhador Invisível- SouSmile 📍Confresa-Mt ... mais mais bio.site/DraYasminCarvalho 💁‍♀️ 😷 🌞 👪 💁‍♀️ 😷 🌞 👪",47,47,1958,,False,Pública,0,,,False,0,0,0
dra.kalyttalencar,,False,,0,doutorsorrisoconfresa.csv,2025-08-02,4,,439,439,11600,,False,Erro inesperado,0,,,False,0,0,0
eusoujacksonsanto,,False,,0,doutorsorrisoconfresa.csv,2025-08-02,2,eusoujacksonsanto 13 13 1.348 1.348 1.685 1.685 Jackson Santo | Gestor De Tráfego Pago ... mais mais whats.link/jacksonsanto Destaques Lifestyle Clientes 💬❔ Destaques Lifestyle Clientes 💬❔,13,13,1348,,False,Pública,0,,,False,0,0,0
loislaine_borges,,False,,0,doutorsorrisoconfresa.csv,2025-08-02,1,"loislaine_borges 37 37 832 832 207 207 Loislaine Borges 📍CONFRESA 🗺️ Modo avião na vida real.""✈️ Simples, mas cheia de sonhos.🙌 🌻Me reinvento toda vez que a vida tenta me... mais 📍CONFRESA 🗺️ Modo avião na vida real.""✈️ Simples, mas cheia de sonhos.🙌 🌻Me reinvento toda vez que a vida tenta me ... mais mais",37,37,832,https://www.threads.com/@loislaine_borges?xmt=AQF0__XYDfWVvD-lpFUTx6dQJB3Z_rvmnkeBIrx3-YfL9Xc,False,Pública,0,,,False,0,0,0
anninha.blogueira,,False,,0,doutorsorrisoconfresa.csv,2025-08-02,7,"anninha.blogueira 949 949 3.920 3.920 3.871 3.871 Ana Cristina Costa 👑Miss Infantil |📸 Modelo |🎥 Influence 👑Miss Confresa 2025 oficial 🍃 ✨Espalhando charme, talento e alegria por onde... mais 👑Miss Infantil |📸 Modelo |🎥 Influence 👑Miss Confresa 2025 oficial 🍃 ✨Espalhando charme, talento e alegria por onde ... mais mais www.horadamiss.com/votacao/miss/ana-cristina/?fbclid=PAQ0xDSwL3R6dleHRuA2FlbQIxMQABp6mrQTiT4MYSycadsmL9z6VMNC-AHAmqaJu4qmKjUjacy7rv4hgT4VQbRmRA_aem_b1cxnwA6YpOs7ahVav0lEg",949,949,3920,https://www.threads.com/@anninha.blogueira?xmt=AQF0ZbYnqDDoIwYaz0NbJS3mNMJUhY92p-LhLaLEW7zF0AQ,False,Pública,0,,,False,0,0,0
luizcarlosconfresa,,False,,0,doutorsorrisoconfresa.csv,2025-08-02,4,luizcarlosconfresa 459 459 1.060 1.060 1.992 1.992 Luiz Soares Soares Deus acima de tudo,459,459,1060,https://www.threads.com/@luizcarlosconfresa?xmt=AQF09LEfQT4YWLV27iClDgj1f-9JSFqW8cfjCIs0YW6JnEw,False,Pública,0,,,False,0,0,0
studio_drika_ribeiro,,False,,0,doutorsorrisoconfresa.csv,2025-08-02,1,studio_drika_ribeiro 188 188 1.838 1.838 2.735 2.735 Adriana Oliveira Amor e eu Amor meu 🥰 Destaques Destaques Nivaldo Adriana com maylove😍 Amor e eu Amor meu 🥰 Destaques Nivaldo Adriana com maylove😍,188,188,1838,,False,Pública,0,,,False,0,0,0
pr.josepinaquixabeira,,False,,0,doutorsorrisoconfresa.csv,2025-08-02,1,pr.josepinaquixabeira 207 207 509 509 1.099 1.099 PrJose Pina Quixabeira Destaques,207,207,509,,False,Pública,0,,,False,0,0,0
savelarose,,False,,0,doutorsorrisoconfresa.csv,2025-08-02,1,savelarose 3.775 3.775 611 611 2.637 2.637 Roseli Savela Roque Cardoso Deus é bom o tempo todo 🙏,3775,3775,611,https://www.threads.com/@savelarose?xmt=AQF0ZUVmQr0UqIiih_9LvlSKhZc_2chxCj-tIbBpfiWKp-8,False,Pública,0,,,False,0,0,0
gustavopirini,,False,,0,doutorsorrisoconfresa.csv,2025-08-02,2,"gustavopirini 28 28 1.949 1.949 1.771 1.771 Gustavo Pirini Palmas-TO ☀️ Treino corpo e mente, cuido do sorriso e faço o dinheiro trabalhar, com a bênção de Deus. Saúde •... mais Gustavo Pirini Palmas-TO ☀️ Treino corpo e mente, cuido do sorriso e faço o dinheiro trabalhar, com a bênção de Deus. Saúde •... mais Palmas-TO ☀️ Treino corpo e mente, cuido do sorriso e faço o dinheiro trabalhar, com a bênção de Deus. Saúde • ... mais mais",28,28,1949,,False,Pública,0,,,False,0,0,0
josianebarros.s2,,False,,0,doutorsorrisoconfresa.csv,2025-08-02,1,,116,116,1171,,False,Erro inesperado,0,,,False,0,0,0
monica_bispo_quixabeira,,False,,0,doutorsorrisoconfresa.csv,2025-08-02,9,monica_bispo_quixabeira 150 150 585 585 961 961 Mônica Bispo Quixabeira,150,150,585,,False,Pública,0,,,False,0,0,0
claudialara_fg,,False,,0,doutorsorrisoconfresa.csv,2025-08-02,1,claudialara_fg 100 100 486 486 381 381 Cláudia Lara 🌻,100,100,486,https://www.threads.com/@claudialara_fg?xmt=AQF0e88I6R_mWUL--vMfXCX7t1Jx2oht-k010gXlyB6u1Q4,False,Pública,0,,,False,0,0,0
ana_ju1ia_,,False,,0,doutorsorrisoconfresa.csv,2025-08-02,1,ana_ju1ia_ 4 4 943 943 775 775 Ana Fante,4,4,943,,False,Pública,0,,,False,0,0,0
dra.leidianereggiori,,False,,0,doutorsorrisoconfresa.csv,2025-08-02,1,wa.me/message/WYU7ROTSQASUL1 dra.leidianereggiori 39 39 2.024 2.024 650 650 Leidiane Rocha Reggiori Dentista e consultório odontológico Cirurgiã Dentista Clínico Geral | Especialista em Implantodontia | 📍Taquaralto / Palmas - TO ... mais Cirurgiã Dentista Clínico Geral | Especialista em Implantodontia | 📍Taquaralto / Palmas - TO ... mais mais 👩‍⚕️ 👩‍⚕️ 👩‍⚕️ 👩‍⚕️,39,39,2024,,False,Pública,0,,,False,0,0,0
anabeathrys,,False,,0,doutorsorrisoconfresa.csv,2025-08-02,1,anabeathrys 40 40 858 858 783 783 Ana Beathrys ... mais mais,40,40,858,,False,Pública,0,,,False,0,0,0
rozeli_muniz,,False,,0,doutorsorrisoconfresa.csv,2025-08-02,1,rozeli_muniz 53 53 2.495 2.495 2.966 2.966 Rozeli Da Silva Muniz 🇧🇷 Isaias 41:10 Não temas porque eu sou contigo: Não te assombres porque eu sou o teu Deus. Rozeli Da Silva Muniz 🇧🇷 Isaias 41:10 Não temas porque eu sou contigo: Não te assombres porque eu sou o teu Deus.,53,53,2495,,False,Pública,0,,,False,0,0,0
gholanda30,,False,,0,doutorsorrisoconfresa.csv,2025-08-02,1,gholanda30 3 3 620 620 2.124 2.124 Gustavo Holanda Analista e Dev de Sistemas 👨🏻‍💻,3,3,620,https://www.threads.com/@gholanda30?xmt=AQF0D4sNtLp_zPeb2yV0i1jKV_M5wfSXCpiCXjzcQjErWto,False,Pública,0,,,False,0,0,0
aestheticsdigital_,,False,,0,doutorsorrisoconfresa.csv,2025-08-02,1,,57,57,2095,,False,Erro inesperado,0,,,False,0,0,0
morgana_mmota,,False,,0,doutorsorrisoconfresa.csv,2025-08-02,1,,192,192,1347,,False,Erro inesperado,0,,,False,0,0,0
kauan_araujo_expert,,False,,0,doutorsorrisoconfresa.csv,2025-08-02,1,instabio.cc/Kauanaraujo kauan_araujo_expert 273 273 2.401 2.401 1.801 1.801 Kauan Araújo|expert em lisos|📍confresa mt Artista ... mais mais bronzoni 🍓🤎⚡️ feedback💎 paceria(Valéria) fb terapia✨️ galfi hair sollié cosmético le'pro cosmetics Gonçalves paceria(Débora) certificados ♥️ bronzoni 🍓🤎⚡️ feedback💎 paceria(Valéria) fb terapia✨️ galfi hair sollié cosmético le'pro cosmetics Gonçalves paceria(Débora) certificados ♥️,273,273,2401,,False,Pública,0,,,False,0,0,0
daysececiliarego,,False,,0,doutorsorrisoconfresa.csv,2025-08-02,34,daysececiliarego 174 174 2.370 2.370 991 991 Dayse Cecilia De Oliveira Rêgo Brandão Seguido(a) por jordanalogradoo jordanalogradoo,174,174,2370,,False,Pública,0,,,False,0,0,0
raynne_silva,,False,,0,doutorsorrisoconfresa.csv,2025-08-02,1,raynne_silva 16 16 5.830 5.830 3.754 3.754 Raynne Silva 📍MT ✨Além do que se vê. 📚Engenharia agronômica| IFMT Raynne Silva 📍MT ✨Além do que se vê. 📚Engenharia agronômica| IFMT,16,16,5830,,False,Pública,0,,,False,0,0,0
doutorsorrisoconfresa,,False,,0,doutorsorrisoconfresa.csv,2025-08-02,1,wa.me/5566984773056 doutorsorrisoconfresa 98 98 1.937 1.937 2.175 2.175 Dentista em Confresa-MT Dentista e consultório odontológico 🧡O melhor sorriso ao seu alcance🧡 ⏰Segunda a Sexta- 08:00 às 19:00 ⏰ ⏰Sábado- 08:00 às 14:00⏰ 🧡Venha fazer sua... mais 🧡O melhor sorriso ao seu alcance🧡 ⏰Segunda a Sexta- 08:00 às 19:00 ⏰ ⏰Sábado- 08:00 às 14:00⏰ 🧡Venha fazer sua ... mais mais 1 ano 🎈🥳🧡 Atendimento😃 Inauguração😀 Contato📱 Localização Horários 1 ano 🎈🥳🧡 Atendimento😃 Inauguração😀 Contato📱 Localização Horários,98,98,1937,,False,Pública,0,,,False,0,0,0
vanes907,,False,,0,doutorsorrisoconfresa.csv,2025-08-02,1,vanes907 49 49 899 899 2.289 2.289 Vanessa cardoso mamãe de um príncipe,49,49,899,https://www.threads.com/@vanes907?xmt=AQF0mBbE3DcOv_ETI_2CVd_2NGSzg2J65fJ_j38uwXFV7XY,False,Pública,0,,,False,0,0,0
jkm_styllus,,False,,0,doutorsorrisoconfresa.csv,2025-08-02,1,"jkm_styllus 5 5 73 73 61 61 JKM STYLLUS Confresa MT📍 ___________ Linha de calçados,confecções e assessórios com qualidade e ótimo preço! JKM STYLLUS Confresa MT📍 ___________ Linha de calçados,confecções e assessórios com qualidade e ótimo preço!",5,5,73,,False,Pública,0,,,False,0,0,0
wederson_xr,,False,,0,doutorsorrisoconfresa.csv,2025-08-02,1,wederson_xr 0 0 1.095 1.095 645 645 Wederson Apyãwa 🍷🗿 Wederson Apyãwa 🍷🗿,0,0,1095,,False,Pública,0,,,False,0,0,0
valdirenepnascimento,,False,,0,doutorsorrisoconfresa.csv,2025-08-02,1,valdirenepnascimento 50 50 2.791 2.791 2.173 2.173 Valdirene P. Nascimento GRADUADA EM ADMINISTRAÇAO DE EMPRESAS 🏡 CORRETORA IMOBILIÁRIA 🎓 CRECI 14581 VEREADORA 2025/2028,50,50,2791,https://www.threads.com/@valdirenepnascimento?xmt=AQF0_eyc8dkQxKiAQpbwUffpEZ0iTYIiGPe6ULhX9vZKTqE,False,Pública,0,,,False,0,0,0
schueigertfernandadeoliveira,,False,,0,doutorsorrisoconfresa.csv,2025-08-02,1,schueigertfernandadeoliveira 4 4 690 690 3.911 3.911 Fernanda Oliveira,4,4,690,https://www.threads.com/@schueigertfernandadeoliveira?xmt=AQF0AIjdEAoLj-oM7fsZ5SowfbMaajXE4xHAtgsqCpNCbOw,False,Pública,0,,,False,0,0,0
mauricioolii,,False,,0,doutorsorrisoconfresa.csv,2025-08-02,1,mauricioolii 6 6 1.133 1.133 1.174 1.174 Mauricio Oliveira • Cirurgião - Dentista • Implantodontista Mauricio Oliveira • Cirurgião - Dentista • Implantodontista,6,6,1133,,False,Pública,0,,,False,0,0,0
daniela_domingues01,,False,,0,doutorsorrisoconfresa.csv,2025-08-02,1,daniela_domingues01 67 67 1.128 1.128 5.750 5.750 Daniela Domingues Eleoterio Muller,67,67,1128,,False,Pública,0,,,False,0,0,0
anapaulla.ramos,,False,Seguir,0,fazendeeira.csv,2025-08-02,1,anapaulla.ramos 92 92 2.937 2.937 2.551 2.551 Ana Paulla Ramos Vila rica MT🔄 Barra do garças gestora em Agronegócio 🐂 🌱 Escorpiãna 🦂 Ana Paulla Ramos Vila rica MT🔄 Barra do garças gestora em Agronegócio 🐂 🌱 Escorpiãna 🦂,92,92,2937,,False,Pública,0,,,False,0,0,0
dai.lyaninha.sc,,False,Seguir,0,fazendeeira.csv,2025-08-02,1,dai.lyaninha.sc 4 4 1.089 1.089 2.872 2.872 𝓐𝓷𝓷𝓪.𝓼 . . .,4,4,1089,https://www.threads.com/@dai.lyaninha.sc?xmt=AQF09foNnTHdf0tB-4MYd7nIWRuPmardDZTqiqh3r1jaPQ0,False,Pública,0,,,False,0,0,0
